text,intent,response,entities
get my loan info,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
show my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
I need a car loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
freeze my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
open a fixed deposit account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
I want to delete my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
freeze my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
yo,greet,ğŸ˜ƒ Hello! How can I assist you today?,
transfer money to John,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
hello,greet,ğŸ˜ƒ Hello! How can I assist you today?,
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
open a new savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
available funds,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
report unauthorized transaction,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
available funds,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
enable my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
I need a car loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
loan account details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
turn on my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
need money loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
something is wrong with my account,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
what is my account balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
disable my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
cancel my bank account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
I want to delete my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
get a loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
good afternoon,greet,ğŸ˜ƒ Hello! How can I assist you today?,
current balance please,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
current loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
display my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
create new bank account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
open current account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
lost my debit card,block_card,ğŸš« Your card has been blocked successfully.,card_type
good morning,greet,ğŸ˜ƒ Hello! How can I assist you today?,
lost my credit card,block_card,ğŸš« Your card has been blocked successfully.,card_type
available funds,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
whatâ€™s up,greet,ğŸ˜ƒ Hello! How can I assist you today?,
shut down my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
I want to delete my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
current balance please,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
lost my credit card,block_card,ğŸš« Your card has been blocked successfully.,card_type
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
move funds,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
turn on my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
close my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
close my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
show my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
tell me my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
pay 200 to Arun,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
loan account details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
shut down my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
remove my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
terminate my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
how are you,greet,ğŸ˜ƒ Hello! How can I assist you today?,
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
can I get a loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
hello,greet,ğŸ˜ƒ Hello! How can I assist you today?,
freeze my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
pay 200 to Arun,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
complaint about service,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
make a payment,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
I misplaced my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
balance enquiry,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
start a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
can I create a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
open a fixed deposit account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
loan account details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
register for new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
resume my debit card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
start a savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
apply for home loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
how much loan do I have,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
transfer to my savings account,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
file a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
terminate my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
block my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
card not working enable it,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
good afternoon,greet,ğŸ˜ƒ Hello! How can I assist you today?,
file a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
raise a service complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
show my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
available funds,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
make a transfer,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
open current account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
what is my loan amount,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
raise a service complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
how much money do I have,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
move funds,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
open a new savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
apply for home loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
transfer money to John,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
transfer money to John,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
start a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
can I create a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
can I get a loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
report lost card,block_card,ğŸš« Your card has been blocked successfully.,card_type
register for new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
start a savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
remove my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
report lost card,block_card,ğŸš« Your card has been blocked successfully.,card_type
create new bank account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
how much loan do I have,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
show my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
something is wrong with my account,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
can I see my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
display my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
start a savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
report lost card,block_card,ğŸš« Your card has been blocked successfully.,card_type
file a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
current loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
stop my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
move funds,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
what is my loan amount,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
display my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
remove my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
view loan details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
current balance please,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
enable my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
show my loan details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
freeze my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
create new bank account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
make a transfer,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
remove my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
freeze my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
yo,greet,ğŸ˜ƒ Hello! How can I assist you today?,
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
disable my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
open my card again,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
cancel my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
raise a service complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
I want a gold loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
start a savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
pay 200 to Arun,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
report a transaction issue,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
show my loan details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
loan statement,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
start a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
report issue,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
delete my bank account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
can I create a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
good afternoon,greet,ğŸ˜ƒ Hello! How can I assist you today?,
open a new savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
cancel my bank account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
get a loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
whatâ€™s up,greet,ğŸ˜ƒ Hello! How can I assist you today?,
I want to open an account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
display my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
how are you,greet,ğŸ˜ƒ Hello! How can I assist you today?,
open a fixed deposit account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
open a fixed deposit account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
cancel my bank account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
cancel my bank account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
I misplaced my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
close my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
how are you,greet,ğŸ˜ƒ Hello! How can I assist you today?,
lost my credit card,block_card,ğŸš« Your card has been blocked successfully.,card_type
reactivate my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
loan statement,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
start a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
make a transfer,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
open a new savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
card not working enable it,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
can I get a loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
show my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
show my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
get my loan info,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
lost my credit card,block_card,ğŸš« Your card has been blocked successfully.,card_type
can you unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
good afternoon,greet,ğŸ˜ƒ Hello! How can I assist you today?,
make a payment,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
resume my debit card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
lost my credit card,block_card,ğŸš« Your card has been blocked successfully.,card_type
register complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
terminate my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
resume my debit card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
how much loan do I have,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
activate blocked card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
I want a gold loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
submit complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
available funds,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
cancel my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
cancel my bank account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
I need a car loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
open current account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
close my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
transfer 5000 to Rahul,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
stop my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
make a payment,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
yo,greet,ğŸ˜ƒ Hello! How can I assist you today?,
report a transaction issue,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
good morning,greet,ğŸ˜ƒ Hello! How can I assist you today?,
block my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
cancel my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
show my loan details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
remove my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
open my card again,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
what is my account balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
need a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
block my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
how to apply for loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
how much money do I have,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
turn on my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
yo,greet,ğŸ˜ƒ Hello! How can I assist you today?,
view loan details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
loan statement,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
good afternoon,greet,ğŸ˜ƒ Hello! How can I assist you today?,
transfer money to John,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
I want a gold loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
what is my loan amount,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
shut down my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
register for new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
display my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
transfer to my savings account,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
what is my loan amount,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
start a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
activate blocked card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
view loan details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
register for new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
I want to delete my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
I misplaced my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
send cash,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
block my ATM card,block_card,ğŸš« Your card has been blocked successfully.,card_type
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
remove my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
freeze my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
transfer to my savings account,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
I want a gold loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
open current account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
display my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
create new bank account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
can I create a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
block my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
close my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
need a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
I misplaced my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
get my loan info,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
stop my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
shut down my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
loan account details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
terminate my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
loan account details,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
register complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
I want to delete my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
turn on my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
apply for personal loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
open current account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
hi,greet,ğŸ˜ƒ Hello! How can I assist you today?,
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
can I create a new account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
make a transfer,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
report a transaction issue,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
how much loan do I have,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
check my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
terminate my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
send 1500 rupees,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
yo,greet,ğŸ˜ƒ Hello! How can I assist you today?,
open current account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
how much loan do I have,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
current loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
good afternoon,greet,ğŸ˜ƒ Hello! How can I assist you today?,
activate blocked card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
shut down my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
can I see my balance,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
apply for home loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
I want a gold loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
open my card again,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
open my card again,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
submit complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
I want a gold loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
block my ATM card,block_card,ğŸš« Your card has been blocked successfully.,card_type
apply for education loan,apply_loan,ğŸ“ Let's start your loan application!,loan_type
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
terminate my account,close_account,ğŸ”’ Your account closure request is being processed.,account_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
I want to raise a complaint,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
available funds,check_balance,ğŸ’° Please share your account number to check your balance.,account_type
report unauthorized transaction,complaint,âš ï¸ Your complaint has been registered. Weâ€™ll get back soon.,
what is my loan amount,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
unblock my card,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
open my card again,unblock_card,âœ… Your card is now unblocked and ready to use.,card_type
hey,greet,ğŸ˜ƒ Hello! How can I assist you today?,
current loan balance,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
I misplaced my card,block_card,ğŸš« Your card has been blocked successfully.,card_type
start a savings account,open_account,ğŸ¦ Sure! Let's open your new account.,account_type
make a payment,transfer_money,ğŸ’¸ Please confirm recipient name and amount to transfer.,"amount,person_name"
loan statement,loan_info,ğŸ“„ Fetching your loan details now.,loan_type
